t;prefix;trueF0;estN
0;10000;8395;8436.84
1;20000;16510;16474.9
2;30000;24676;24498.9
3;40000;32847;32506.6
4;50000;40892;41572.6
5;60000;49093;49366.7
6;70000;57184;57308.5
7;80000;65218;65348.4
8;90000;73280;73311.8
9;100000;81298;81047.3
10;110000;89308;88812.2
11;120000;97350;96974.7
12;130000;105359;104822
13;140000;113375;112831
14;150000;121389;120484
15;160000;129397;129355
16;170000;137441;137294
17;180000;145469;144772
18;190000;153478;152588
19;200000;161528;161025
