t;prefix;mean;sigma;low;high
0;10000;8308.37;235.495;8072.88;8543.87
1;20000;16295.7;342.403;15953.3;16638.1
2;30000;24461.2;707.456;23753.8;25168.7
3;40000;32512.6;1091.36;31421.3;33604
4;50000;40675.8;1270.66;39405.2;41946.5
5;60000;48433.3;1163.94;47269.3;49597.2
6;70000;56585.1;1418.01;55167.1;58003.1
7;80000;64366.8;1821.06;62545.8;66187.9
8;90000;72558.1;1923.23;70634.9;74481.4
9;100000;80674.2;1742.02;78932.2;82416.2
10;110000;88813.1;2098.6;86714.5;90911.7
11;120000;96357.3;2411.78;93945.6;98769.1
12;130000;104363;2860.5;101503;107224
13;140000;112399;3565.24;108834;115964
14;150000;120416;4108.14;116308;124524
15;160000;128631;4789.75;123841;133420
16;170000;136562;5179.03;131383;141742
17;180000;144809;5468.07;139341;150277
18;190000;153227;6005.02;147222;159232
19;200000;160781;6174.57;154607;166956
